"Compound name","Smiles","logkp (cm/s)","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.707","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","7.8","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lidocaine","CCN(CC(=O)Nc1c(C)cccc1C)CC","-5.53","leg","epidermis, dermis","dermatomed 150um","-14.5","","0","","10.0","Hydroxypropyl cellulose, chlorbutanol","","","","Flow through cell","Kushla, 1991","10.1016/0378-5173(91)90387-4"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-8.784","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","Acetate solution","","","Ethanol 50%","Static diffusion cell","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-6.691","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","White spirit","","","Ethanol 50%","Static diffusion cell","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-7.109","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","White spirit, pentachlorophenyl laurate, other ingredients","","","Ethanol 50%","Static diffusion cell","Dick, 1997","10.1177/096032719701601104"
"Lindane","ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl","-7.887","abdomen, breast","epidermis, dermis","dermatomed 230um","-70","","0","32","","Spray dilution. Water, pentachlorophenyl laurate, surfactants","","","Ethanol 50%","Static diffusion cell","Dick, 1997","10.1177/096032719701601104"
"Linolenic acid","CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O","-5.988","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Lysine","NCCCC[C@@H](C(=O)O)N","-7.328","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","7.3","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"Lysine","NCCCC[C@@H](C(=O)O)N","-6.86","thigh","epidermis, dermis","dermatomed 500um","-20","","0","","8.9","NaCl solution","37","7.3","NaCl solution","Glass diffusion cell","Sznitowska, 1993","10.1016/0378-5173(93)90321-6"
"m-Cresol","Cc1cccc(c1)O","-5.373","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"m-Nitrophenol","Oc1cccc(c1)[N+](=O)[O-]","-5.805","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Malathion","CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC","-4.249","","epidermis, dermis","dermatomed 1000um","","","0","37","","Ethanol","37","7.4","PBS","Flow through cell","Wester, 1996","10.1016/0278-6915(96)00030-0"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.81","","epidermis","heat separation","","","0","37","7.5","PBS with sodium azide","37","7.5","PBS with sodium azide","Glass diffusion cell","Peck, 1994","10.1023/A:1018998529283"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-8.158","abdomen","epidermis","heat separation","","","0","32","","NaCl solution","32","","NaCl solution","Flow through cell","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.923","abdomen","epidermis, dermis","dermatomed 130um","","4","0","32","","NaCl solution","33","","NaCl solution","Flow through cell","Clowes, 1994","10.1016/0887-2333(94)90078-7"
"Mannitol","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O","-7.771","abdomen","","","7","4","0","30","","","30","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Meperidine","CCOC(=O)C1(CCN(CC1)C)c1ccccc1","-5.988","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Methanol","CO","-6.556","abdomen","epidermis","heat separation","","","0","","","","","","","Pyrex cell","Scheuplein, 1965","10.1038/jid.1965.140"
"Methanol","CO","-3.857","","","","","","0","","","","","","","","Scheuplein, 1971","10.1152/physrev.1971.51.4.702"
"Methanol","CO","-5.539","abdomen","epidermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-6.857","abdomen","epidermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-5.195","abdomen","dermis","heat separation","4","","1","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-4.832","abdomen","dermis","heat separation","4","","0","25","","","","","Water","Pyrex cell","Scheuplein, 1973","10.1111/1523-1747.ep12723090"
"Methanol","CO","-6.352","abdomen","stratum corneum","heat separation, hydrated","","","0","30","","","","","","Glass diffusion cell","Southwell, 1984","10.1016/0378-5173(84)90145-5"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.007","abdomen","epidermis, dermis","","","","0","","4.12","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.503","abdomen","epidermis, dermis","","","","0","","1.98","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-7.209","abdomen","epidermis, dermis","","","","0","","2.98","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.613","abdomen","epidermis, dermis","","","","0","","3.87","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.807","abdomen","epidermis, dermis","","","","0","","4.12","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.503","abdomen","epidermis, dermis","","","","0","","5.29","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methotrexate","OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C","-6.84","abdomen","epidermis, dermis","","","","0","","6.34","Propylene glycol/water (50%)","37","","NaCl solution","","Vaidyanathan, 1985","10.1016/0378-5173(85)90106-1"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.23","abdomen","epidermis","heat separation","","","0","32","7.4","PBS","37","","PBS","Franz cell","Akomeah, 2007","10.1002/jps.20773"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.596","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.634","back, leg","epidermis","heat separation","-70","","0","32","7.4","PBS","32","7.4","PBS with sodium azide","","Romonchuk, 2010","10.1159/000272121"
"Methyl 4-hydroxybenzoate","COC(=O)c1ccc(cc1)O","-5.632","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Methyl 4-hydroxyphenylacetate","COC(=O)Cc1ccc(cc1)O","-5.255","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"Methyl nicotinate","COC(=O)c1cccnc1","-6.046","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Methyl nicotinate","COC(=O)c1cccnc1","-5.966","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Methyl p-aminobenzoate","COC(=O)c1ccc(cc1)N","-5.195","thigh","epidermis, dermis","dermatomed 300um","4","","0","25","","","25","","","Flow through cell","Roy, 1993","10.1002/jps.2600821217"
"Methyl p-aminobenzoate","COC(=O)c1ccc(cc1)N","-5.012","thigh","epidermis, dermis without stratum corneum","dermatomed, tape-stripped","4","","0","25","","","25","","","Flow through cell","Roy, 1993","10.1002/jps.2600821217"
"Methyl salicylate","COC(=O)c1ccccc1O","-5","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Methyltriglycol nicotinate","COCCOCCOCCOC(=O)c1cccnc1","-7.308","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"Metoprolol","COCCc1ccc(cc1)OCC(CNC(C)C)O","-6.637","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","7.4","Sorensen buffer","32","7.6","Sorensen buffer","Franz cell","Modamio, 2000","10.1016/S0378-5173(99)00380-4"
"Morphine","O[C@H]1C=C[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-8.588","abdomen","epidermis","heat separation","-20","","0","37","7.4","Citrate-phosphate buffer","37","7.4","","Glass diffusion cell","Roy, 1989","10.1023/A:1015944018555"
"Morphine","O[C@H]1C=C[C@@H]2[C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O","-9.352","abdomen, thigh","epidermis","heat separation","-20","","0","37","7.5","","37","7.4","","Glass diffusion cell","Roy, 1994","10.1002/jps.2600831215"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.792","","epidermis, dermis","","-20","","0","37","","45% Propylene glycol in water (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.78","","epidermis, dermis","","-20","","0","37","","60% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.392","","epidermis, dermis","","-20","","0","37","","75% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.561","","epidermis, dermis","","-20","","0","37","","90% Propylene glycol in water  (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.477","","epidermis, dermis","","-20","","0","37","","60% PEG 400 in water (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.535","","epidermis, dermis","","-20","","0","37","","75% PEG 400 in water (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.699","","epidermis, dermis","","-20","","0","37","","30% Propylene glycol, 60% PEG 400 (10% DEET solution)","37","7.4","PBS","Franz cell","Ross, 2000","10.1016/S0168-3659(00)00210-8"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.474","","epidermis, dermis","","-20","","0","37","","30 % Ethanol in water","37","7.4","PBS","Franz cell","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.446","","epidermis, dermis","","-20","","0","37","","45 % Ethanol in water","37","7.4","PBS","Franz cell","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-6.954","","epidermis, dermis","","-20","","0","37","","60 % Ethanol in water","37","7.4","PBS","Franz cell","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-7.158","","epidermis, dermis","","-20","","0","37","","75 % Ethanol in water","37","7.4","PBS","Franz cell","Stinecipher, 1997","10.1080/00984109708984056"
"N,N-Diethyl-m-toluamide","CCN(C(=O)c1cccc(c1)C)CC","-8.352","","epidermis, dermis","","-20","","0","37","","90 % Ethanol in water","37","7.4","PBS","Franz cell","Stinecipher, 1997","10.1080/00984109708984056"
"n-Hexyl nicotinate","CCCCCCOC(=O)c1cccnc1","-5.303","abdomen, breast","epidermis","heat separation","4","","0","37","7.4","","37","","PBS","Franz cell","Dalpozzo, 1991","10.1002/jps.2600800114"
"n-Nitrosodiethanolamine","OCCN(N=O)CCO","-5.944","abdomen","epidermis, dermis","heat separation","-20","","0","32","","Isopropyl myristate containing sucrose","37","7.4","PBS","Franz cell","Brain, 1995","10.1016/0278-6915(94)00146-F"
"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one","OC[C@H]1O[C@H]([C@H]([C@H]1O)O)n1ccc(nc1=O)NC(=O)C","-6.889","abdomen","epidermis","heat separation","-20","","0","32","7.4","PBS","32","7.4","PBS","Franz cell","Legoabe, 2010","10.1211/jpp.62.06.0012"
"N4-hexanoyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one","CCCCCC(=O)Nc1ccn(c(=O)n1)[C@@H]1O[C@@H]([C@@H]([C@@H]1O)O)CO","-5.737","abdomen","epidermis","heat separation","-20","","0","32","7.4","PBS","32","7.4","PBS","Franz cell","Legoabe, 2010","10.1211/jpp.62.06.0012"
"Naphthol","Oc1cccc2c1cccc2","-5.141","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Naproxen","COc1ccc2c(c1)ccc(c2)C(C(=O)O)C","-6.096","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Naproxen","COc1ccc2c(c1)ccc(c2)C(C(=O)O)C","-7.218","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Naproxen glucoside","COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O)C","-7.886","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Naproxen mannoside","COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)OC[C@H]1OC(O)[C@H]([C@H]([C@@H]1O)O)O)C","-7.7","abdomen","epidermis","heat separation","-20","","0","37","7","PBS","37","7.4","PBS","Franz cell","Swart, 2005","10.1016/j.ijpharm.2005.05.030"
"Nicorandil","[O-][N+](=O)OCCNC(=O)c1cccnc1","-7.131","breast","","","-20","30","0","","","Water","","","","","Sato, 1991","10.1002/jps.2600800203"
"Nicotine","CN1CCCC1c1cccnc1","-6.036","abdomen","epidermis, dermis","","","","0","","","Water","37","7.4","PBS","Franz cell","Degim, 1998","10.1016/S0378-5173(98)00113-6"
"Nicotine","CN1CCCC1c1cccnc1","-5.27","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","9.2","NaOH","37","9.2","NaOH","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Nicotine","CN1CCCC1c1cccnc1","-5.546","abdomen, breast","epidermis, dermis","dermatomed 408um","-18","180","0","32","7.4","PBS","37","7.4","PBS","Franz cell","Qvist, 2000","10.1016/S0928-0987(00)00091-9"
"Nimesulide","[O-][N+](=O)c1ccc(c(c1)Oc1ccccc1)NS(=O)(=O)C","-6.551","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Nitroglycerin","[O-][N+](=O)OC(CO[N+](=O)[O-])CO[N+](=O)[O-]","-5.556","thigh","epidermis, dermis","","4","14","0","30","","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Nizatidine","CN/C(=C[N+](=O)[O-])/NCCSCc1csc(n1)CN(C)C","-7.981","abdomen","epidermis, dermis","","-70","21","0","32","","","37","7.4","PBS","Franz cell","Degim, 2003","10.1002/jps.10312"
"Nortriptyline hydrocloride","CNCCC=C1c2ccccc2CCc2c1cccc2.Cl","-7.959","abdomen","epidermis","heat separation","-26","90","0","","5.5","PBS","","5.5","PBS","Franz cell","Melero, 2008","10.1016/j.ejpb.2007.11.012"
"Nortriptyline hydrocloride","CNCCC=C1c2ccccc2CCc2c1cccc2.Cl","-6.444","abdomen","epidermis","heat separation","-26","90","0","","7.4","PBS","","7.4","PBS","Franz cell","Melero, 2008","10.1016/j.ejpb.2007.11.012"
"o-Chlorophenol","Oc1ccccc1Cl","-5.037","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"o-Cresol","Cc1ccccc1O","-5.36","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"o-Cresyl glycidyl ether","Cc1ccccc1OCC1CO1","-7.588","breast","epidermis, dermis","dermatomed","","0.125","0","32","","","","7.4","Hanks balanced salt solution","Flow through cell","Boogaard, 2000","10.1080/004982500237488"
"o-Phenylenediamine","Nc1ccccc1N","-6.903","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"o-t-Butylphenol","Oc1ccccc1C(C)(C)C","-4.685","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"Octylparaben","CCCCCCCCOC(=O)c1ccc(cc1)O","-5.588","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Oleic acid","CCCCCCCC/C=CCCCCCCCC(=O)O","-6.442","abdomen","epidermis","prepared with NaBr solution","-80","","0","","","NaCl, sodium azide","","","","","Buist, 2010","10.1016/j.yrtph.2010.02.008"
"Ouabain","OC[C@@]12[C@H](O)C[C@@H](C[C@@]2(O)CCC2C1[C@H](O)C[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O","-8.959","thigh","epidermis, dermis","dermatomed 750um, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Ouabain","OC[C@@]12[C@H](O)C[C@@H](C[C@@]2(O)CCC2C1[C@H](O)C[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O","-9.653","thigh","epidermis, dermis","","4","14","0","30","7","","30","6.5","Ringer solution","Glass diffusion cell","Michaels A. S., 1975","10.1002/aic.690210522"
"Ouabain","OC[C@@]12[C@H](O)C[C@@H](C[C@@]2(O)CCC2C1[C@H](O)C[C@]1([C@]2(O)CC[C@@H]1C1=CC(=O)OC1)C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O","-4.83","thigh","dermis","heat separation, hydrated","4","","0","","","","","7","Ringer solution","Glass diffusion cell","Galey, 1976","10.1111/1523-1747.ep12598596"
"Oxprenolol","C=CCOc1ccccc1OCC(CNC(C)C)O","-6.369","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","7.4","Sorensen buffer","32","7.6","Sorensen buffer","Franz cell","Modamio, 2000","10.1016/S0378-5173(99)00380-4"
"p-Bromophenol","Oc1ccc(cc1)Br","-4.999","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"p-Chlorophenol","Oc1ccc(cc1)Cl","-4.996","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"p-Cresol","Cc1ccc(cc1)O","-4.477","abdomen","stratum corneum","dry heat separation","","","0","","4","Succinate solution","","","","Flow through cell","Anderson, 1989","10.1111/1523-1747.ep12277592"
"p-Cresol","Cc1ccc(cc1)O","-5.313","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"p-Ethylphenol","CCc1ccc(cc1)O","-5.014","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"p-n-Butylphenol","CCCCc1ccc(cc1)O","-4.671","abdomen","epidermis","heat separation","-20","90","0","32","7.4","PBS","32","","PBS with ethanol","Franz cell","Zhang, 2009","10.1007/s11095-009-9912-4"
"p-Nitrophenol","Oc1ccc(cc1)[N+](=O)[O-]","-5.81","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"p-Phenylenediamine","Nc1ccc(cc1)N","-7.176","abdomen","epidermis","heat separation","4","28","0","32","9.7","Borate buffer","32","","NaCl solution","Glass diffusion cell","Bronaugh, 1984","10.1111/1523-1747.ep12263302"
"Paraquat","C[n+]1ccc(cc1)c1cc[n+](cc1)C","-8.617","abdomen","","","7","4","0","30","","","30","","","","Scott, 1990","10.1111/1523-1747.ep12475447"
"Parathion","CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC","-7.28","back","epidermis, dermis","dermatomed 500um","","","1","37","","","37","","Cell culture medium","Flow through cell","Wester, 2000","10.1006/taap.2000.9028"
"Phenobarbital","CCC1(C(=O)NC(=O)NC1=O)c1ccccc1","-6.9","abdomen","epidermis, dermis","fat removed","4","0.5","0","30","5.0","NaOH","37","7.4","PBS","Franz cell","Hadgraft, 1987","10.1016/0378-5173(87)90210-9"
"Phenol","Oc1ccccc1","-5.586","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Phenol","Oc1ccccc1","-5.614","abdomen","epidermis","exposure to ammonia fumes","","","0","25","","","25","","","Pyrex cell","Roberts, 1977","10.1111/j.2042-7158.1977.tb11434.x"
"Phloroglucinol","Oc1cc(O)cc(c1)O","-6.066","abdomen","epidermis","heat separation","-17","","0","37","","Water","37","7.4","PBS","Franz cell","du Plessis, 2002","10.1016/S0928-0987(02)00085-4"
"Prednisolone","OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C","-7.906","abdomen","dermis","heat separation","-20","","0","25","","","25","","","Glass diffusion cell","Siddiqui, 1989","10.1007/bf01061455"
"Pregnenolone","O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2C(=O)C)C)C1)C","-6.38","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Progesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C","-5.079","abdomen, chest, back","epidermis","heat separation","5","7","0","","","","","","","Glass diffusion cell","Johnson, 1995","10.1002/jps.2600840922"
"Progesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C","-5.442","abdomen, back","epidermis","heat separation","4","7","0","25","","PBS","25","","PBS","Glass diffusion cell","Mitragotri, 1995","10.1002/jps.2600840607"
"Progesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C","-5.255","","epidermis","heat separation","","","0","","7.4","PBS","","7.4","PBS","Glass diffusion cell","Mitragotri, 2000","10.1023/A:1007547809430"
"Progesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C","-6.38","","epidermis","","","","0","26","","","26","","","","Scheuplein, 1969","10.1038/jid.1969.9"
"Propoxur","CNC(=O)Oc1ccccc1OC(C)C","-6.324","abdomen","epidermis, dermis","","","","0","32","","60 % Ethanol in water","36","7.4","0.9% NaCl, 0.01% sodium azide, 3% BSA","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Propoxur","CNC(=O)Oc1ccccc1OC(C)C","-5.878","abdomen","epidermis, dermis","","","","0","32","","60 % Ethanol in water","36","7.4","0.9% NaCl, 0.01% sodium azide, 3% BSA","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Propoxur","CNC(=O)Oc1ccccc1OC(C)C","-5.797","breast","epidermis, dermis","","","","0","32","","60 % Ethanol in water","36","7.4","0.9% NaCl, 0.01% sodium azide, 3% BSA","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Propoxur","CNC(=O)Oc1ccccc1OC(C)C","-5.912","breast","epidermis, dermis","","","","0","32","","10 % Ethanol in water","36","7.4","0.9% NaCl, 0.01% sodium azide, 3% BSA","","Wilkinson, 2006","10.1007/s00420-005-0056-5"
"Propranolol","OC(COc1cccc2c1cccc2)CNC(C)C","-6.306","abdomen","epidermis, dermis","dermatomed 1200um, hydrated","-20","","0","32","7.4","Sorensen buffer","32","7.6","Sorensen buffer","Franz cell","Modamio, 2000","10.1016/S0378-5173(99)00380-4"
"Propranolol-HCl","OC(COc1cccc2c1cccc2)CNC(C)C.Cl","-11.436","thigh","epidermis","heat separation","4","7","0","32","7.4","PBS","","","","","Hirvonen, 1991","10.1023/a:1015824100788"
